station,year,doy,block_id,day_in_block,selection_seed,prior_station_day_overlap,att_and_primary_mh_available,selected_primary_channel,selected_bytes
S15,1974,328,levent-08762,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MHZ,1529881
S15,1974,330,levent-08767,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S15,1975,016,levent-08919,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S15,1975,079,levent-09107,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH2,1542169
S15,1975,171,levent-09343,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S15,1975,361,levent-09963,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1533977
S15,1976,075,levent-10229,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S15,1976,136,levent-10495,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S15,1977,017,levent-11666,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S15,1977,111,levent-12112,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH2,1529881
S15,1977,115,levent-12124,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH2,1529881
S16,1972,156,levent-03617,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S16,1972,236,levent-04504,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S16,1972,263,levent-04716,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MHZ,1505305
S16,1972,269,levent-04786,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S16,1973,264,levent-07080,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S16,1974,071,levent-07847,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1533977
S16,1974,119,levent-08023,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MHZ,1161241
S16,1974,330,levent-08768,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S16,1975,020,levent-08925,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MHZ,1529881
S16,1975,105,levent-09181,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S16,1975,272,levent-09664,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S16,1975,348,levent-09924,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1533977
S16,1975,358,levent-09956,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MHZ,1529881
S16,1977,117,levent-12159,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MHZ,1529881
S16,1977,143,levent-12381,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881
S16,1977,206,levent-12782,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH2,1533977
