event_id,physical_event_group,evaluation_group,evaluation_group_type,event_class,source_catalogs,source_event_ids,reference_time,time_precision,time_semantics,type_code_t2,grade,family_id,reported_stations,positive_visibility_channels,waveform_qa_scope,usable_stations,questionable_stations,rejected_stations,usable_window_count,questionable_window_count,rejected_window_count,candidate_status,nonshallow_qa_status,nonshallow_qa_batches,nonshallow_usable_stations,nonshallow_questionable_stations,nonshallow_rejected_stations,label_provenance,license_release_note
levent-00126,event:levent-00126,deep-family:A1,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00126,1970-02-02T14:30:00,minute,catalog_start_not_phase_pick,A,B,A1,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00132,event:levent-00132,deep-family:A1,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00132,1970-02-04T20:40:00,minute,catalog_start_not_phase_pick,A,B,A1,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00137,event:levent-00137,deep-family:A3,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00137,1970-02-06T08:06:00,minute,catalog_start_not_phase_pick,A,B,A3,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00138,event:levent-00138,deep-family:A1,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00138,1970-02-07T01:33:00,minute,catalog_start_not_phase_pick,A,B,A1,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00139,event:levent-00139,deep-family:A5,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00139,1970-02-07T03:26:00,minute,catalog_start_not_phase_pick,A,B,A5,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00146,event:levent-00146,event:levent-00146,physical_event,natural_impact,PDS-levent,levent-00146,1970-02-18T01:41:00,minute,catalog_start_not_phase_pick,C,B,,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00186,event:levent-00186,event:levent-00186,physical_event,natural_impact,PDS-levent,levent-00186,1970-03-03T20:17:00,minute,catalog_start_not_phase_pick,C,B,,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00197,event:levent-00197,event:levent-00197,physical_event,natural_impact,PDS-levent,levent-00197,1970-03-14T12:00:00,minute,catalog_start_not_phase_pick,C,B,,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00215,event:levent-00215,event:levent-00215,physical_event,natural_impact,PDS-levent,levent-00215,1970-03-25T03:32:00,minute,catalog_start_not_phase_pick,C,A,,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00217,event:levent-00217,event:levent-00217,physical_event,natural_impact,PDS-levent,levent-00217,1970-03-26T20:17:00,minute,catalog_start_not_phase_pick,C,A,,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00224,event:levent-00224,deep-family:A6,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00224,1970-03-30T12:51:00,minute,catalog_start_not_phase_pick,A,B,A6,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00225,event:levent-00225,deep-family:A1,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00225,1970-03-30T17:40:00,minute,catalog_start_not_phase_pick,A,B,A1,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00238,event:levent-00238,deep-family:A1,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00238,1970-04-03T10:49:00,minute,catalog_start_not_phase_pick,A,B,A1,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00240,event:levent-00240,event:levent-00240,physical_event,natural_impact,PDS-levent,levent-00240,1970-04-05T11:37:00,minute,catalog_start_not_phase_pick,C,B,,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00255,event:levent-00255,event:levent-00255,physical_event,artificial_impact_sivb,PDS-levent,levent-00255,1970-04-15T01:09:00,minute,catalog_start_not_phase_pick,S,B,,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00271,event:levent-00271,event:levent-00271,physical_event,natural_impact,PDS-levent,levent-00271,1970-04-23T23:45:00,minute,catalog_start_not_phase_pick,C,A,,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00274,event:levent-00274,event:levent-00274,physical_event,natural_impact,PDS-levent,levent-00274,1970-04-25T01:14:00,minute,catalog_start_not_phase_pick,C,A,,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00280,event:levent-00280,deep-family:A1,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00280,1970-04-26T14:29:00,minute,catalog_start_not_phase_pick,A,A,A1,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00281,event:levent-00281,deep-family:A6,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00281,1970-04-26T15:12:00,minute,catalog_start_not_phase_pick,A,B,A6,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00321,event:levent-00321,event:levent-00321,physical_event,natural_impact,PDS-levent,levent-00321,1970-05-20T16:45:00,minute,catalog_start_not_phase_pick,C,B,,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00325,event:levent-00325,deep-family:A1,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00325,1970-05-23T13:08:00,minute,catalog_start_not_phase_pick,A,B,A1,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00329,event:levent-00329,deep-family:A6,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00329,1970-05-24T04:35:00,minute,catalog_start_not_phase_pick,A,B,A6,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00333,event:levent-00333,deep-family:A1,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00333,1970-05-25T12:12:00,minute,catalog_start_not_phase_pick,A,B,A1,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00334,event:levent-00334,deep-family:A1,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00334,1970-05-27T03:27:00,minute,catalog_start_not_phase_pick,A,B,A1,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00357,event:levent-00357,event:levent-00357,physical_event,natural_impact,PDS-levent,levent-00357,1970-06-15T19:00:00,minute,catalog_start_not_phase_pick,C,A,,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00365,event:levent-00365,deep-family:A7,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00365,1970-06-19T21:27:00,minute,catalog_start_not_phase_pick,A,B,A7,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00376,event:levent-00376,deep-family:A1,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00376,1970-06-22T11:58:00,minute,catalog_start_not_phase_pick,A,B,A1,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00381,event:levent-00381,event:levent-00381,physical_event,natural_impact,PDS-levent,levent-00381,1970-06-26T20:01:00,minute,catalog_start_not_phase_pick,C,A,,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00393,event:levent-00393,event:levent-00393,physical_event,natural_impact,PDS-levent,levent-00393,1970-07-06T22:14:00,minute,catalog_start_not_phase_pick,C,B,,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00408,event:levent-00408,deep-family:A1,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00408,1970-07-16T03:48:00,minute,catalog_start_not_phase_pick,A,B,A1,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00414,event:levent-00414,deep-family:A7,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00414,1970-07-17T05:02:00,minute,catalog_start_not_phase_pick,A,B,A7,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00415,event:levent-00415,deep-family:A1,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00415,1970-07-18T00:33:00,minute,catalog_start_not_phase_pick,A,B,A1,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00418,event:levent-00418,event:levent-00418,physical_event,natural_impact,PDS-levent,levent-00418,1970-07-20T05:06:00,minute,catalog_start_not_phase_pick,C,A,,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00420,event:levent-00420,deep-family:A5,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00420,1970-07-20T11:17:00,minute,catalog_start_not_phase_pick,A,B,A5,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00421,event:levent-00421,deep-family:A1,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00421,1970-07-20T11:44:00,minute,catalog_start_not_phase_pick,A,A,A1,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00423,event:levent-00423,deep-family:A1,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00423,1970-07-23T05:35:00,minute,catalog_start_not_phase_pick,A,B,A1,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00425,event:levent-00425,event:levent-00425,physical_event,natural_impact,PDS-levent,levent-00425,1970-07-27T03:40:00,minute,catalog_start_not_phase_pick,C,B,,S12;S14,S12.MH1;S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00449,event:levent-00449,event:levent-00449,physical_event,natural_impact,PDS-levent,levent-00449,1970-08-07T08:40:00,minute,catalog_start_not_phase_pick,C,B,,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00456,event:levent-00456,event:levent-00456,physical_event,natural_impact,PDS-levent,levent-00456,1970-08-11T00:13:00,minute,catalog_start_not_phase_pick,C,A,,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00467,event:levent-00467,event:levent-00467,physical_event,natural_impact,PDS-levent,levent-00467,1970-08-13T16:26:00,minute,catalog_start_not_phase_pick,C,B,,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00513,event:levent-00513,deep-family:A7,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00513,1970-09-08T10:48:00,minute,catalog_start_not_phase_pick,A,B,A7,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00517,event:levent-00517,deep-family:A1,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00517,1970-09-09T12:10:00,minute,catalog_start_not_phase_pick,A,B,A1,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00530,event:levent-00530,deep-family:A1,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00530,1970-09-13T23:03:00,minute,catalog_start_not_phase_pick,A,B,A1,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00551,event:levent-00551,event:levent-00551,physical_event,natural_impact,PDS-levent,levent-00551,1970-09-26T19:57:00,minute,catalog_start_not_phase_pick,C,A,,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00556,event:levent-00556,event:levent-00556,physical_event,natural_impact,PDS-levent,levent-00556,1970-09-27T22:30:00,minute,catalog_start_not_phase_pick,C,B,,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00557,event:levent-00557,deep-family:A8,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00557,1970-09-28T21:20:00,minute,catalog_start_not_phase_pick,A,B,A8,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00563,event:levent-00563,deep-family:A7,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00563,1970-10-06T15:15:00,minute,catalog_start_not_phase_pick,A,B,A7,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00566,event:levent-00566,deep-family:A13,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00566,1970-10-06T20:28:00,minute,catalog_start_not_phase_pick,A,B,A13,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00600,event:levent-00600,event:levent-00600,physical_event,natural_impact,PDS-levent,levent-00600,1970-10-24T11:31:00,minute,catalog_start_not_phase_pick,C,A,,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00604,event:levent-00604,deep-family:A8,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00604,1970-10-26T05:10:00,minute,catalog_start_not_phase_pick,A,B,A8,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00614,event:levent-00614,deep-family:A7,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00614,1970-11-03T08:36:00,minute,catalog_start_not_phase_pick,A,B,A7,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00615,event:levent-00615,deep-family:A1,deep_repeating_family,deep_moonquake_assigned,PDS-levent,levent-00615,1970-11-03T17:14:00,minute,catalog_start_not_phase_pick,A,B,A1,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00623,event:levent-00623,event:levent-00623,physical_event,natural_impact,PDS-levent,levent-00623,1970-11-07T10:09:00,minute,catalog_start_not_phase_pick,C,B,,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
levent-00631,event:levent-00631,event:levent-00631,physical_event,natural_impact,PDS-levent,levent-00631,1970-11-12T12:50:00,minute,catalog_start_not_phase_pick,C,A,,S12;S14,S12.MH2;S12.MHZ;S14.SHZ,not_yet_audited_for_unified_manifest,,,,,,,candidate_integrity_audited,usable_integrity,1,S12,,,PDS T2 physical class; conservative A/B and positive-visibility rule,PDS-derived manifest release review required
